,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
19,187,KERNEL_DISPATCH,7,2,291720,47,273,kernel_unified_attention_2d,47,279590810496344,279590813117702,0,20480,256,1,1,98304,8,1,decode,1,1024,256,512,32,standalone_attn_decode_1.0_1024.0_256.0_512.0_32.0_kernel_trace.csv,2621.358
20,230,KERNEL_DISPATCH,7,2,157907,43,273,kernel_unified_attention_2d,43,267596611710246,267596611897034,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,186.788
21,231,KERNEL_DISPATCH,7,2,157907,44,273,kernel_unified_attention_2d,44,267596612170498,267596612371679,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,201.181
22,232,KERNEL_DISPATCH,7,2,157907,45,273,kernel_unified_attention_2d,45,267596612502779,267596612687241,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,184.462
23,233,KERNEL_DISPATCH,7,2,157907,46,273,kernel_unified_attention_2d,46,267596612796370,267596612997390,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,201.02
24,234,KERNEL_DISPATCH,7,2,157907,47,273,kernel_unified_attention_2d,47,267596613101589,267596613286051,0,20480,256,1,1,12288,8,1,decode,1,1024,32,256,32,standalone_attn_decode_1.0_1024.0_32.0_256.0_32.0_kernel_trace.csv,184.462
25,277,KERNEL_DISPATCH,7,2,228698,43,273,kernel_unified_attention_2d,43,275136899144562,275136899475079,0,20480,256,1,1,12288,8,1,decode,1,1024,32,512,32,standalone_attn_decode_1.0_1024.0_32.0_512.0_32.0_kernel_trace.csv,330.517
26,278,KERNEL_DISPATCH,7,2,228698,44,273,kernel_unified_attention_2d,44,275136899745617,275136900073607,0,20480,256,1,1,12288,8,1,decode,1,1024,32,512,32,standalone_attn_decode_1.0_1024.0_32.0_512.0_32.0_kernel_trace.csv,327.99
27,279,KERNEL_DISPATCH,7,2,228698,45,273,kernel_unified_attention_2d,45,275136900199255,275136900556432,0,20480,256,1,1,12288,8,1,decode,1,1024,32,512,32,standalone_attn_decode_1.0_1024.0_32.0_512.0_32.0_kernel_trace.csv,357.177
28,280,KERNEL_DISPATCH,7,2,228698,46,273,kernel_unified_attention_2d,46,275136900665161,275136900993111,0,20480,256,1,1,12288,8,1,decode,1,1024,32,512,32,standalone_attn_decode_1.0_1024.0_32.0_512.0_32.0_kernel_trace.csv,327.95
