,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,decode_in_isolation_us,prefill_in_isolation_us,baseline_avg_decode_duration_us,baseline_avg_prefill_duration_us,baseline_decode_in_isolation_us,baseline_prefill_in_isolation_us
0,prefill_and_decode,16.0,1024.0,128.0,1024.0,128.0,,,,114.315,2759.875,117.32166666666666,2775.658,63.050999999999995,1650.6703333333335,60.52466666666667,1660.4529999999997
1,prefill_and_decode,16.0,1024.0,128.0,1024.0,160.0,,,,60.217666666666666,3424.596666666667,61.24700000000001,3436.1560000000004,63.050999999999995,1650.6703333333335,60.52466666666667,1660.4529999999997
2,prefill_and_decode,16.0,1024.0,128.0,1024.0,32.0,,,,355.35966666666667,1805.184,340.0986666666667,1811.8793333333333,63.050999999999995,1650.6703333333335,60.52466666666667,1660.4529999999997
3,prefill_and_decode,16.0,1024.0,128.0,1024.0,64.0,,,,173.98499999999999,2006.5243333333335,172.381,2007.7806666666665,63.050999999999995,1650.6703333333335,60.52466666666667,1660.4529999999997
4,prefill_and_decode,16.0,1024.0,128.0,1024.0,96.0,,,,116.52033333333334,2323.476666666667,117.923,2334.6486666666665,63.050999999999995,1650.6703333333335,60.52466666666667,1660.4529999999997
5,prefill_and_decode,16.0,1024.0,128.0,2048.0,128.0,,,,221.3596666666667,2761.091,220.45066666666665,2775.658,117.65599999999999,1672.1866666666667,112.31066666666668,1660.4529999999997
6,prefill_and_decode,16.0,1024.0,128.0,2048.0,160.0,,,,111.30833333333334,3421.9769999999994,113.246,3436.1560000000004,117.65599999999999,1672.1866666666667,112.31066666666668,1660.4529999999997
7,prefill_and_decode,16.0,1024.0,128.0,2048.0,32.0,,,,689.8323333333334,1809.394,650.7286666666666,1811.8793333333333,117.65599999999999,1672.1866666666667,112.31066666666668,1660.4529999999997
8,prefill_and_decode,16.0,1024.0,128.0,2048.0,64.0,,,,334.7126666666666,2003.8786666666667,328.9393333333333,2007.7806666666665,117.65599999999999,1672.1866666666667,112.31066666666668,1660.4529999999997
9,prefill_and_decode,16.0,1024.0,128.0,2048.0,96.0,,,,221.9476666666667,2321.525666666667,223.13733333333334,2334.6486666666665,117.65599999999999,1672.1866666666667,112.31066666666668,1660.4529999999997
10,prefill_and_decode,16.0,1024.0,128.0,256.0,128.0,,,,35.855333333333334,2760.6766666666667,37.13833333333333,2775.658,20.219333333333335,1622.1516666666666,20.995,1660.4529999999997
11,prefill_and_decode,16.0,1024.0,128.0,256.0,160.0,,,,19.805333333333337,3420.2393333333334,20.714,3436.1560000000004,20.219333333333335,1622.1516666666666,20.995,1660.4529999999997
12,prefill_and_decode,16.0,1024.0,128.0,256.0,32.0,,,,106.48366666666668,1805.8253333333334,105.52133333333335,1811.8793333333333,20.219333333333335,1622.1516666666666,20.995,1660.4529999999997
13,prefill_and_decode,16.0,1024.0,128.0,256.0,64.0,,,,53.08133333333333,2009.01,56.36866666666666,2007.7806666666665,20.219333333333335,1622.1516666666666,20.995,1660.4529999999997
14,prefill_and_decode,16.0,1024.0,128.0,256.0,96.0,,,,35.94866666666667,2322.207,38.488,2334.6486666666665,20.219333333333335,1622.1516666666666,20.995,1660.4529999999997
15,prefill_and_decode,16.0,1024.0,128.0,4096.0,128.0,,,,433.31166666666667,2762.1873333333333,431.28000000000003,2775.658,230.95466666666667,1718.1046666666668,217.63133333333334,1660.4529999999997
16,prefill_and_decode,16.0,1024.0,128.0,4096.0,160.0,,,,218.76733333333334,3423.6343333333334,221.09233333333336,3436.1560000000004,230.95466666666667,1718.1046666666668,217.63133333333334,1660.4529999999997
17,prefill_and_decode,16.0,1024.0,128.0,4096.0,32.0,,,,1370.429,1820.4856666666667,1277.1886666666667,1811.8793333333333,230.95466666666667,1718.1046666666668,217.63133333333334,1660.4529999999997
18,prefill_and_decode,16.0,1024.0,128.0,4096.0,64.0,,,,659.4423333333333,2003.5046666666667,643.2986666666667,2007.7806666666665,230.95466666666667,1718.1046666666668,217.63133333333334,1660.4529999999997
19,prefill_and_decode,16.0,1024.0,128.0,4096.0,96.0,,,,435.36966666666666,2324.8259999999996,431.49399999999997,2334.6486666666665,230.95466666666667,1718.1046666666668,217.63133333333334,1660.4529999999997
20,prefill_and_decode,16.0,1024.0,128.0,512.0,128.0,,,,63.011,2762.427333333333,64.935,2775.658,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999997
21,prefill_and_decode,16.0,1024.0,128.0,512.0,160.0,,,,32.260333333333335,3421.91,32.80833333333334,3436.1560000000004,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999997
22,prefill_and_decode,16.0,1024.0,128.0,512.0,32.0,,,,185.33100000000002,1791.098,182.44366666666667,1811.8793333333333,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999997
23,prefill_and_decode,16.0,1024.0,128.0,512.0,64.0,,,,92.532,2003.1436666666666,93.21266666666666,2007.7806666666665,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999997
24,prefill_and_decode,16.0,1024.0,128.0,512.0,96.0,,,,62.035000000000004,2322.287,63.31833333333333,2334.6486666666665,34.278333333333336,1626.6153333333332,34.50566666666666,1660.4529999999997
25,prefill_and_decode,16.0,1024.0,128.0,8192.0,128.0,,,,859.4996666666666,2766.5303333333336,873.1176666666667,2775.658,456.47166666666664,1814.5116666666665,431.4266666666667,1660.4529999999997
26,prefill_and_decode,16.0,1024.0,128.0,8192.0,160.0,,,,431.454,3427.843666666666,432.45599999999996,3436.1560000000004,456.47166666666664,1814.5116666666665,431.4266666666667,1660.4529999999997
27,prefill_and_decode,16.0,1024.0,128.0,8192.0,32.0,,,,2628.654666666667,1800.2526666666665,2531.030666666667,1811.8793333333333,456.47166666666664,1814.5116666666665,431.4266666666667,1660.4529999999997
28,prefill_and_decode,16.0,1024.0,128.0,8192.0,64.0,,,,1325.112,2017.229,1289.5103333333334,2007.7806666666665,456.47166666666664,1814.5116666666665,431.4266666666667,1660.4529999999997
29,prefill_and_decode,16.0,1024.0,128.0,8192.0,96.0,,,,865.674,2335.3573333333334,864.7653333333334,2334.6486666666665,456.47166666666664,1814.5116666666665,431.4266666666667,1660.4529999999997
30,prefill_and_decode,16.0,1024.0,16.0,1024.0,128.0,,21.462333333333333,3.795,25.257333333333335,2762.8559999999998,26.95433333333333,2775.658,16.170666666666666,1606.088,13.377333333333333,1660.4529999999997
31,prefill_and_decode,16.0,1024.0,16.0,1024.0,160.0,,15.889666666666665,4.009333333333333,19.898999999999997,3424.529666666667,18.549,3436.1560000000004,16.170666666666666,1606.088,13.377333333333333,1660.4529999999997
32,prefill_and_decode,16.0,1024.0,16.0,1024.0,32.0,,71.53666666666668,4.690666666666666,76.22733333333335,1796.4706666666668,76.06733333333334,1811.8793333333333,16.170666666666666,1606.088,13.377333333333333,1660.4529999999997
33,prefill_and_decode,16.0,1024.0,16.0,1024.0,64.0,,39.83766666666667,4.236,44.07366666666667,2006.725333333333,41.64233333333333,2007.7806666666665,16.170666666666666,1606.088,13.377333333333333,1660.4529999999997
34,prefill_and_decode,16.0,1024.0,16.0,1024.0,96.0,,26.727666666666664,4.37,31.097666666666665,2323.8243333333335,31.886333333333333,2334.6486666666665,16.170666666666666,1606.088,13.377333333333333,1660.4529999999997
35,prefill_and_decode,16.0,1024.0,16.0,2048.0,128.0,,32.64833333333333,3.728666666666667,36.377,2763.2833333333333,34.65266666666667,2775.658,20.473333333333333,1618.8906666666664,17.065666666666665,1660.4529999999997
36,prefill_and_decode,16.0,1024.0,16.0,2048.0,160.0,,22.518,4.169666666666667,26.68766666666667,3422.8056666666666,27.08833333333333,3436.1560000000004,20.473333333333333,1618.8906666666664,17.065666666666665,1660.4529999999997
37,prefill_and_decode,16.0,1024.0,16.0,2048.0,32.0,,116.266,4.824333333333333,121.09033333333333,1803.3263333333334,116.19966666666667,1811.8793333333333,20.473333333333333,1618.8906666666664,17.065666666666665,1660.4529999999997
38,prefill_and_decode,16.0,1024.0,16.0,2048.0,64.0,,57.571666666666665,4.37,61.94166666666666,2003.5313333333334,62.67633333333333,2007.7806666666665,20.473333333333333,1618.8906666666664,17.065666666666665,1660.4529999999997
39,prefill_and_decode,16.0,1024.0,16.0,2048.0,96.0,,40.15866666666667,4.129333333333333,44.288000000000004,2323.2360000000003,43.873999999999995,2334.6486666666665,20.473333333333333,1618.8906666666664,17.065666666666665,1660.4529999999997
40,prefill_and_decode,16.0,1024.0,16.0,256.0,128.0,,11.212666666666669,3.5413333333333328,14.754000000000001,2764.3520000000003,13.978666666666665,2775.658,10.517666666666667,1569.765333333333,10.851333333333333,1660.4529999999997
41,prefill_and_decode,16.0,1024.0,16.0,256.0,160.0,,7.964666666666666,3.768333333333333,11.732999999999999,3424.8763333333336,11.573,3436.1560000000004,10.517666666666667,1569.765333333333,10.851333333333333,1660.4529999999997
42,prefill_and_decode,16.0,1024.0,16.0,256.0,32.0,,27.383,5.131666666666667,32.51466666666666,1794.9736666666668,33.169333333333334,1811.8793333333333,10.517666666666667,1569.765333333333,10.851333333333333,1660.4529999999997
43,prefill_and_decode,16.0,1024.0,16.0,256.0,64.0,,16.410333333333334,4.262666666666667,20.673000000000002,2008.7963333333335,20.874666666666666,2007.7806666666665,10.517666666666667,1569.765333333333,10.851333333333333,1660.4529999999997
44,prefill_and_decode,16.0,1024.0,16.0,256.0,96.0,,10.049666666666667,3.9823333333333335,14.032,2322.487333333333,15.636000000000003,2334.6486666666665,10.517666666666667,1569.765333333333,10.851333333333333,1660.4529999999997
45,prefill_and_decode,16.0,1024.0,16.0,4096.0,128.0,,50.36866666666666,4.129333333333332,54.498,2760.3163333333337,56.876,2775.658,27.703333333333333,1602.7743333333335,25.244999999999997,1660.4529999999997
46,prefill_and_decode,16.0,1024.0,16.0,4096.0,160.0,,34.265,3.6750000000000003,37.94,3421.1216666666664,39.303333333333335,3436.1560000000004,27.703333333333333,1602.7743333333335,25.244999999999997,1660.4529999999997
47,prefill_and_decode,16.0,1024.0,16.0,4096.0,32.0,,199.336,4.917666666666666,204.25366666666667,1807.2153333333335,197.31799999999998,1811.8793333333333,27.703333333333333,1602.7743333333335,25.244999999999997,1660.4529999999997
48,prefill_and_decode,16.0,1024.0,16.0,4096.0,64.0,,99.668,4.222666666666666,103.89066666666668,2014.6906666666666,102.66166666666666,2007.7806666666665,27.703333333333333,1602.7743333333335,25.244999999999997,1660.4529999999997
49,prefill_and_decode,16.0,1024.0,16.0,4096.0,96.0,,67.16700000000002,4.33,71.49700000000001,2323.183,71.92466666666668,2334.6486666666665,27.703333333333333,1602.7743333333335,25.244999999999997,1660.4529999999997
50,prefill_and_decode,16.0,1024.0,16.0,512.0,128.0,,13.724666666666666,3.8083333333333336,17.533,2761.064,18.201666666666664,2775.658,12.388666666666667,1609.2156666666667,12.227999999999998,1660.4529999999997
