,prefill_batch,prefill_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
0,1,1024,128.0,1465.1789999999999,,,1465.1789999999999,862.8673333333332,,,862.8673333333332
1,1,1024,160.0,1791.1513333333332,,,1791.1513333333332,862.8673333333332,,,862.8673333333332
2,1,1024,32.0,973.1333333333332,,,973.1333333333332,862.8673333333332,,,862.8673333333332
3,1,1024,64.0,1070.9303333333335,,,1070.9303333333335,862.8673333333332,,,862.8673333333332
4,1,1024,96.0,1238.3406666666667,,,1238.3406666666667,862.8673333333332,,,862.8673333333332
5,1,1024,304.0,862.8673333333332,,,862.8673333333332,862.8673333333332,,,862.8673333333332
6,1,131072,128.0,21590045.02366667,,,21590045.02366667,12949197.170666667,,,12949197.170666667
7,1,131072,160.0,26867000.015333336,,,26867000.015333336,12949197.170666667,,,12949197.170666667
8,1,131072,32.0,14050094.621,,,14050094.621,12949197.170666667,,,12949197.170666667
9,1,131072,64.0,15580804.190333335,,,15580804.190333335,12949197.170666667,,,12949197.170666667
10,1,131072,96.0,18073421.10433333,,,18073421.10433333,12949197.170666667,,,12949197.170666667
11,1,131072,304.0,12949197.170666667,,,12949197.170666667,12949197.170666667,,,12949197.170666667
12,1,16384,128.0,338495.428,,,338495.428,200043.333,,,200043.333
13,1,16384,160.0,421415.45033333334,,,421415.45033333334,200043.333,,,200043.333
14,1,16384,32.0,217907.41533333334,,,217907.41533333334,200043.333,,,200043.333
15,1,16384,64.0,244204.88866666667,,,244204.88866666667,200043.333,,,200043.333
16,1,16384,96.0,283267.6863333333,,,283267.6863333333,200043.333,,,200043.333
17,1,16384,304.0,200043.333,,,200043.333,200043.333,,,200043.333
18,1,2048,128.0,5480.685333333334,,,5480.685333333334,3304.079,,,3304.079
19,1,2048,160.0,6795.28,,,6795.28,3304.079,,,3304.079
20,1,2048,32.0,3580.3379999999997,,,3580.3379999999997,3304.079,,,3304.079
21,1,2048,64.0,3958.5496666666663,,,3958.5496666666663,3304.079,,,3304.079
22,1,2048,96.0,4605.429666666666,,,4605.429666666666,3304.079,,,3304.079
23,1,2048,304.0,3304.079,,,3304.079,3304.079,,,3304.079
24,1,256,128.0,121.812,,,121.812,74.43733333333334,,,74.43733333333334
25,1,256,160.0,140.22766666666666,,,140.22766666666666,74.43733333333334,,,74.43733333333334
26,1,256,32.0,74.67733333333332,,,74.67733333333332,74.43733333333334,,,74.43733333333334
27,1,256,64.0,90.83433333333335,,,90.83433333333335,74.43733333333334,,,74.43733333333334
28,1,256,96.0,105.62866666666666,,,105.62866666666666,74.43733333333334,,,74.43733333333334
29,1,256,304.0,74.43733333333334,,,74.43733333333334,74.43733333333334,,,74.43733333333334
30,1,32768,128.0,1351674.3776666666,,,1351674.3776666666,802328.64,,,802328.64
31,1,32768,160.0,1680003.555,,,1680003.555,802328.64,,,802328.64
32,1,32768,32.0,872103.017,,,872103.017,802328.64,,,802328.64
33,1,32768,64.0,973341.8616666667,,,973341.8616666667,802328.64,,,802328.64
34,1,32768,96.0,1128665.4916666665,,,1128665.4916666665,802328.64,,,802328.64
35,1,32768,304.0,802328.64,,,802328.64,802328.64,,,802328.64
36,1,4096,128.0,21584.006666666664,,,21584.006666666664,12540.450333333334,,,12540.450333333334
37,1,4096,160.0,26763.884333333335,,,26763.884333333335,12540.450333333334,,,12540.450333333334
38,1,4096,32.0,13726.056333333334,,,13726.056333333334,12540.450333333334,,,12540.450333333334
39,1,4096,64.0,15554.719666666666,,,15554.719666666666,12540.450333333334,,,12540.450333333334
40,1,4096,96.0,17906.63333333333,,,17906.63333333333,12540.450333333334,,,12540.450333333334
41,1,4096,304.0,12540.450333333334,,,12540.450333333334,12540.450333333334,,,12540.450333333334
42,1,512,128.0,403.3096666666667,,,403.3096666666667,225.95666666666668,,,225.95666666666668
43,1,512,160.0,489.9073333333333,,,489.9073333333333,225.95666666666668,,,225.95666666666668
44,1,512,32.0,252.63133333333334,,,252.63133333333334,225.95666666666668,,,225.95666666666668
45,1,512,64.0,282.3793333333333,,,282.3793333333333,225.95666666666668,,,225.95666666666668
46,1,512,96.0,341.79566666666665,,,341.79566666666665,225.95666666666668,,,225.95666666666668
47,1,512,304.0,225.95666666666668,,,225.95666666666668,225.95666666666668,,,225.95666666666668
48,1,65536,128.0,5400536.480333333,,,5400536.480333333,3230209.8426666665,,,3230209.8426666665
49,1,65536,160.0,6709485.670000001,,,6709485.670000001,3230209.8426666665,,,3230209.8426666665
50,1,65536,32.0,3501752.2229999998,,,3501752.2229999998,3230209.8426666665,,,3230209.8426666665
51,1,65536,64.0,3890832.6343333335,,,3890832.6343333335,3230209.8426666665,,,3230209.8426666665
52,1,65536,96.0,4520444.179666667,,,4520444.179666667,3230209.8426666665,,,3230209.8426666665
53,1,65536,304.0,3230209.8426666665,,,3230209.8426666665,3230209.8426666665,,,3230209.8426666665
54,1,8192,128.0,85185.84199999999,,,85185.84199999999,50003.239,,,50003.239
55,1,8192,160.0,105715.81300000001,,,105715.81300000001,50003.239,,,50003.239
56,1,8192,32.0,54527.30966666667,,,54527.30966666667,50003.239,,,50003.239
57,1,8192,64.0,61293.272666666664,,,61293.272666666664,50003.239,,,50003.239
58,1,8192,96.0,71130.51133333333,,,71130.51133333333,50003.239,,,50003.239
59,1,8192,304.0,50003.239,,,50003.239,50003.239,,,50003.239
