,decode_batch,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
0,128,1024,128.0,117.32166666666666,,,117.32166666666666,60.52466666666667,,,60.52466666666667
1,128,1024,160.0,61.24700000000001,,,61.24700000000001,60.52466666666667,,,60.52466666666667
2,128,1024,32.0,340.0986666666667,,,340.0986666666667,60.52466666666667,,,60.52466666666667
3,128,1024,64.0,172.381,,,172.381,60.52466666666667,,,60.52466666666667
4,128,1024,96.0,117.923,,,117.923,60.52466666666667,,,60.52466666666667
5,128,1024,304.0,60.52466666666667,,,60.52466666666667,60.52466666666667,,,60.52466666666667
6,128,2048,128.0,220.45066666666665,,,220.45066666666665,112.31066666666668,,,112.31066666666668
7,128,2048,160.0,113.246,,,113.246,112.31066666666668,,,112.31066666666668
8,128,2048,32.0,650.7286666666666,,,650.7286666666666,112.31066666666668,,,112.31066666666668
9,128,2048,64.0,328.9393333333333,,,328.9393333333333,112.31066666666668,,,112.31066666666668
10,128,2048,96.0,223.13733333333334,,,223.13733333333334,112.31066666666668,,,112.31066666666668
11,128,2048,304.0,112.31066666666668,,,112.31066666666668,112.31066666666668,,,112.31066666666668
12,128,256,128.0,37.13833333333333,,,37.13833333333333,20.995,,,20.995
13,128,256,160.0,20.714,,,20.714,20.995,,,20.995
14,128,256,32.0,105.52133333333335,,,105.52133333333335,20.995,,,20.995
15,128,256,64.0,56.36866666666666,,,56.36866666666666,20.995,,,20.995
16,128,256,96.0,38.488,,,38.488,20.995,,,20.995
17,128,256,304.0,20.995,,,20.995,20.995,,,20.995
18,128,4096,128.0,431.28000000000003,,,431.28000000000003,217.63133333333334,,,217.63133333333334
19,128,4096,160.0,221.09233333333336,,,221.09233333333336,217.63133333333334,,,217.63133333333334
20,128,4096,32.0,1277.1886666666667,,,1277.1886666666667,217.63133333333334,,,217.63133333333334
21,128,4096,64.0,643.2986666666667,,,643.2986666666667,217.63133333333334,,,217.63133333333334
22,128,4096,96.0,431.49399999999997,,,431.49399999999997,217.63133333333334,,,217.63133333333334
23,128,4096,304.0,217.63133333333334,,,217.63133333333334,217.63133333333334,,,217.63133333333334
24,128,512,128.0,64.935,,,64.935,34.50566666666666,,,34.50566666666666
25,128,512,160.0,32.80833333333334,,,32.80833333333334,34.50566666666666,,,34.50566666666666
26,128,512,32.0,182.44366666666667,,,182.44366666666667,34.50566666666666,,,34.50566666666666
27,128,512,64.0,93.21266666666666,,,93.21266666666666,34.50566666666666,,,34.50566666666666
28,128,512,96.0,63.31833333333333,,,63.31833333333333,34.50566666666666,,,34.50566666666666
29,128,512,304.0,34.50566666666666,,,34.50566666666666,34.50566666666666,,,34.50566666666666
30,128,8192,128.0,873.1176666666667,,,873.1176666666667,431.4266666666667,,,431.4266666666667
31,128,8192,160.0,432.45599999999996,,,432.45599999999996,431.4266666666667,,,431.4266666666667
32,128,8192,32.0,2531.030666666667,,,2531.030666666667,431.4266666666667,,,431.4266666666667
33,128,8192,64.0,1289.5103333333334,,,1289.5103333333334,431.4266666666667,,,431.4266666666667
34,128,8192,96.0,864.7653333333334,,,864.7653333333334,431.4266666666667,,,431.4266666666667
35,128,8192,304.0,431.4266666666667,,,431.4266666666667,431.4266666666667,,,431.4266666666667
36,16,1024,128.0,,21.595666666666663,5.358666666666667,26.95433333333333,,9.020666666666665,4.3566666666666665,13.377333333333333
37,16,1024,160.0,,14.513,4.036,18.549,,9.020666666666665,4.3566666666666665,13.377333333333333
38,16,1024,32.0,,70.69500000000001,5.372333333333334,76.06733333333334,,9.020666666666665,4.3566666666666665,13.377333333333333
39,16,1024,64.0,,37.031333333333336,4.611,41.64233333333333,,9.020666666666665,4.3566666666666665,13.377333333333333
40,16,1024,96.0,,27.102,4.7843333333333335,31.886333333333333,,9.020666666666665,4.3566666666666665,13.377333333333333
41,16,1024,304.0,,9.020666666666665,4.3566666666666665,13.377333333333333,,9.020666666666665,4.3566666666666665,13.377333333333333
42,16,2048,128.0,,30.376,4.276666666666666,34.65266666666667,,12.696,4.369666666666667,17.065666666666665
43,16,2048,160.0,,22.104,4.984333333333333,27.08833333333333,,12.696,4.369666666666667,17.065666666666665
44,16,2048,32.0,,111.16133333333333,5.038333333333334,116.19966666666667,,12.696,4.369666666666667,17.065666666666665
45,16,2048,64.0,,57.625,5.051333333333333,62.67633333333333,,12.696,4.369666666666667,17.065666666666665
46,16,2048,96.0,,39.38366666666666,4.490333333333333,43.873999999999995,,12.696,4.369666666666667,17.065666666666665
47,16,2048,304.0,,12.696,4.369666666666667,17.065666666666665,,12.696,4.369666666666667,17.065666666666665
48,16,256,128.0,,9.996333333333332,3.982333333333333,13.978666666666665,,6.762333333333333,4.0889999999999995,10.851333333333333
49,16,256,160.0,,7.269666666666666,4.303333333333334,11.573,,6.762333333333333,4.0889999999999995,10.851333333333333
50,16,256,32.0,,27.409666666666666,5.759666666666667,33.169333333333334,,6.762333333333333,4.0889999999999995,10.851333333333333
51,16,256,64.0,,16.558,4.316666666666666,20.874666666666666,,6.762333333333333,4.0889999999999995,10.851333333333333
52,16,256,96.0,,11.413000000000002,4.223,15.636000000000003,,6.762333333333333,4.0889999999999995,10.851333333333333
53,16,256,304.0,,6.762333333333333,4.0889999999999995,10.851333333333333,,6.762333333333333,4.0889999999999995,10.851333333333333
54,16,4096,128.0,,52.119,4.757,56.876,,20.072999999999997,5.172,25.244999999999997
55,16,4096,160.0,,35.174,4.129333333333334,39.303333333333335,,20.072999999999997,5.172,25.244999999999997
56,16,4096,32.0,,192.26666666666665,5.051333333333333,197.31799999999998,,20.072999999999997,5.172,25.244999999999997
57,16,4096,64.0,,98.13133333333333,4.530333333333334,102.66166666666666,,20.072999999999997,5.172,25.244999999999997
58,16,4096,96.0,,67.34066666666668,4.584,71.92466666666668,,20.072999999999997,5.172,25.244999999999997
59,16,4096,304.0,,20.072999999999997,5.172,25.244999999999997,,20.072999999999997,5.172,25.244999999999997
60,16,512,128.0,,14.045333333333332,4.156333333333333,18.201666666666664,,8.192333333333332,4.035666666666667,12.227999999999998
61,16,512,160.0,,10.771333333333333,4.396666666666667,15.168,,8.192333333333332,4.035666666666667,12.227999999999998
62,16,512,32.0,,46.879999999999995,5.345666666666666,52.22566666666666,,8.192333333333332,4.035666666666667,12.227999999999998
63,16,512,64.0,,26.207000000000004,5.051333333333333,31.258333333333336,,8.192333333333332,4.035666666666667,12.227999999999998
64,16,512,96.0,,18.308333333333334,5.131666666666667,23.44,,8.192333333333332,4.035666666666667,12.227999999999998
65,16,512,304.0,,8.192333333333332,4.035666666666667,12.227999999999998,,8.192333333333332,4.035666666666667,12.227999999999998
66,16,8192,128.0,,91.02133333333332,4.557333333333333,95.57866666666665,,34.666,5.786666666666666,40.452666666666666
67,16,8192,160.0,,62.489666666666665,4.623666666666667,67.11333333333333,,34.666,5.786666666666666,40.452666666666666
68,16,8192,32.0,,354.518,5.2253333333333325,359.7433333333333,,34.666,5.786666666666666,40.452666666666666
