,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
0,decode,1,1024,1,1024,128.0,,9.301333333333334,4.824,14.125333333333334,,,9.448666666666668,4.944333333333334,14.393,
1,decode,1,1024,1,1024,32.0,,9.235,5.198666666666667,14.433666666666667,,,9.448666666666668,4.944333333333334,14.393,
2,decode,1,1024,1,1024,64.0,,9.916333333333334,4.931666666666666,14.847999999999999,,,9.448666666666668,4.944333333333334,14.393,
3,decode,1,1024,1,1024,304.0,,9.448666666666668,4.944333333333334,14.393,,,9.448666666666668,4.944333333333334,14.393,
4,decode,1,1024,1,2048,128.0,,12.601999999999999,4.437,17.038999999999998,,,13.056333333333333,5.038,18.09433333333333,
5,decode,1,1024,1,2048,32.0,,12.776000000000002,4.423666666666667,17.19966666666667,,,13.056333333333333,5.038,18.09433333333333,
6,decode,1,1024,1,2048,64.0,,12.642666666666665,4.811,17.453666666666663,,,13.056333333333333,5.038,18.09433333333333,
7,decode,1,1024,1,2048,304.0,,13.056333333333333,5.038,18.09433333333333,,,13.056333333333333,5.038,18.09433333333333,
8,decode,1,1024,1,256,128.0,,7.056333333333334,4.864333333333334,11.920666666666667,,,6.334333333333333,4.0360000000000005,10.370333333333335,
9,decode,1,1024,1,256,32.0,,6.133666666666667,3.7686666666666664,9.902333333333333,,,6.334333333333333,4.0360000000000005,10.370333333333335,
10,decode,1,1024,1,256,64.0,,6.374666666666666,4.156666666666666,10.531333333333333,,,6.334333333333333,4.0360000000000005,10.370333333333335,
11,decode,1,1024,1,256,304.0,,6.334333333333333,4.0360000000000005,10.370333333333335,,,6.334333333333333,4.0360000000000005,10.370333333333335,
12,decode,1,1024,1,4096,128.0,,20.327,4.824666666666666,25.151666666666667,,,19.043666666666667,4.022333333333333,23.066,
13,decode,1,1024,1,4096,32.0,,19.257666666666665,5.158666666666666,24.41633333333333,,,19.043666666666667,4.022333333333333,23.066,
14,decode,1,1024,1,4096,64.0,,19.47133333333333,4.61,24.08133333333333,,,19.043666666666667,4.022333333333333,23.066,
15,decode,1,1024,1,4096,304.0,,19.043666666666667,4.022333333333333,23.066,,,19.043666666666667,4.022333333333333,23.066,
16,decode,1,1024,1,512,128.0,,6.668666666666667,4.864666666666667,11.533333333333335,,,6.294333333333334,3.969,10.263333333333334,
17,decode,1,1024,1,512,32.0,,6.267666666666667,3.9156666666666666,10.183333333333334,,,6.294333333333334,3.969,10.263333333333334,
