,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
34,32.0,32,1024,256,1,73.328,636.7233333333334
35,32.0,32,1024,256,4,273.078,642.5906666666666
36,32.0,32,1024,256,8,528.2623333333333,649.0723333333334
37,32.0,32,1024,256,16,1083.359,666.6723333333334
38,32.0,32,1024,256,32,2146.605,682.5213333333334
39,32.0,32,1024,512,1,249.758,641.0403333333334
40,32.0,32,1024,512,4,958.8736666666666,664.8013333333333
41,32.0,32,1024,512,8,1899.76,679.9826666666667
42,32.0,32,1024,512,16,3831.1933333333336,694.0683333333334
43,32.0,32,1024,1024,1,971.1426666666666,683.711
44,32.0,32,1024,1024,4,3597.378,698.4913333333334
45,32.0,32,1024,1024,8,7194.034333333333,660.431
46,32.0,32,1024,2048,1,3617.8383333333336,689.551
47,32.0,32,1024,2048,4,14037.386,652.346
48,32.0,32,1024,2048,8,27983.44266666667,650.2476666666666
49,32.0,32,1024,4096,1,14028.632666666666,650.475
50,32.0,32,1024,4096,4,54951.12233333333,650.235
51,32.0,32,2048,256,1,103.73066666666668,1249.0316666666668
52,32.0,32,2048,256,4,272.78433333333334,1255.994
53,32.0,32,2048,256,8,535.9463333333334,1260.1636666666668
54,32.0,32,2048,256,16,1093.3016666666667,1293.3596666666667
55,32.0,32,2048,256,32,2157.2156666666665,1303.3823333333332
56,32.0,32,2048,512,1,250.854,1252.72
57,32.0,32,2048,512,4,977.9976666666666,1287.5326666666667
