,decode_batch,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
0,128,2048,128.0,1116.2336666666667,,,1116.2336666666667,451.28600000000006,,,451.28600000000006
1,128,2048,160.0,891.466,,,891.466,451.28600000000006,,,451.28600000000006
2,128,2048,32.0,4853.731333333333,,,4853.731333333333,451.28600000000006,,,451.28600000000006
3,128,2048,64.0,2390.8160000000003,,,2390.8160000000003,451.28600000000006,,,451.28600000000006
4,128,2048,96.0,1441.7920000000001,,,1441.7920000000001,451.28600000000006,,,451.28600000000006
5,128,2048,304.0,451.28600000000006,,,451.28600000000006,451.28600000000006,,,451.28600000000006
6,16,1024,128.0,116.47966666666666,,,116.47966666666666,59.93666666666667,,,59.93666666666667
7,16,1024,160.0,61.88833333333334,,,61.88833333333334,59.93666666666667,,,59.93666666666667
8,16,1024,32.0,340.539,,,340.539,59.93666666666667,,,59.93666666666667
9,16,1024,64.0,174.92033333333333,,,174.92033333333333,59.93666666666667,,,59.93666666666667
10,16,1024,96.0,117.72266666666667,,,117.72266666666667,59.93666666666667,,,59.93666666666667
11,16,1024,304.0,59.93666666666667,,,59.93666666666667,59.93666666666667,,,59.93666666666667
12,16,131072,128.0,13410.990666666667,,,13410.990666666667,6744.4710000000005,,,6744.4710000000005
13,16,131072,160.0,6746.515333333334,,,6746.515333333334,6744.4710000000005,,,6744.4710000000005
14,16,131072,32.0,40061.20533333333,,,40061.20533333333,6744.4710000000005,,,6744.4710000000005
15,16,131072,64.0,20080.998,,,20080.998,6744.4710000000005,,,6744.4710000000005
16,16,131072,96.0,13407.368666666667,,,13407.368666666667,6744.4710000000005,,,6744.4710000000005
17,16,131072,304.0,6744.4710000000005,,,6744.4710000000005,6744.4710000000005,,,6744.4710000000005
18,16,16384,128.0,1710.0993333333333,,,1710.0993333333333,863.683,,,863.683
19,16,16384,160.0,874.989,,,874.989,863.683,,,863.683
20,16,16384,32.0,5032.059666666667,,,5032.059666666667,863.683,,,863.683
21,16,16384,64.0,2521.0746666666664,,,2521.0746666666664,863.683,,,863.683
22,16,16384,96.0,1709.9256666666668,,,1709.9256666666668,863.683,,,863.683
23,16,16384,304.0,863.683,,,863.683,863.683,,,863.683
24,16,2048,128.0,220.01033333333336,,,220.01033333333336,116.72066666666666,,,116.72066666666666
25,16,2048,160.0,113.92733333333332,,,113.92733333333332,116.72066666666666,,,116.72066666666666
26,16,2048,32.0,662.743,,,662.743,116.72066666666666,,,116.72066666666666
27,16,2048,64.0,329.3136666666666,,,329.3136666666666,116.72066666666666,,,116.72066666666666
28,16,2048,96.0,219.79633333333334,,,219.79633333333334,116.72066666666666,,,116.72066666666666
29,16,2048,304.0,116.72066666666666,,,116.72066666666666,116.72066666666666,,,116.72066666666666
30,16,256,128.0,37.218333333333334,,,37.218333333333334,21.822999999999997,,,21.822999999999997
31,16,256,160.0,19.217666666666666,,,19.217666666666666,21.822999999999997,,,21.822999999999997
