,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
0,1,2048,1,1024,128.0,,9.702,4.663666666666667,14.365666666666666,,9.434333333333335,4.677333333333333,14.111666666666668
1,1,2048,1,1024,32.0,,9.074333333333334,4.837666666666666,13.911999999999999,,9.434333333333335,4.677333333333333,14.111666666666668
2,1,2048,1,1024,64.0,,9.421666666666667,5.332,14.753666666666668,,9.434333333333335,4.677333333333333,14.111666666666668
3,1,2048,1,1024,304.0,,9.434333333333335,4.677333333333333,14.111666666666668,,9.434333333333335,4.677333333333333,14.111666666666668
4,1,2048,1,2048,128.0,,13.043,4.463333333333333,17.50633333333333,,13.097000000000001,4.824666666666666,17.921666666666667
5,1,2048,1,2048,32.0,,12.575666666666669,4.289666666666666,16.865333333333336,,13.097000000000001,4.824666666666666,17.921666666666667
6,1,2048,1,2048,64.0,,13.270666666666665,4.610333333333333,17.881,,13.097000000000001,4.824666666666666,17.921666666666667
7,1,2048,1,2048,304.0,,13.097000000000001,4.824666666666666,17.921666666666667,,13.097000000000001,4.824666666666666,17.921666666666667
8,1,2048,1,256,128.0,,7.015999999999999,4.757333333333333,11.773333333333333,,7.216333333333334,4.998,12.214333333333334
9,1,2048,1,256,32.0,,6.241,4.036,10.277,,7.216333333333334,4.998,12.214333333333334
10,1,2048,1,256,64.0,,5.866666666666667,3.8753333333333333,9.742,,7.216333333333334,4.998,12.214333333333334
11,1,2048,1,256,304.0,,7.216333333333334,4.998,12.214333333333334,,7.216333333333334,4.998,12.214333333333334
12,1,2048,1,4096,128.0,,20.112666666666666,5.118666666666666,25.231333333333332,,20.072666666666667,4.998,25.070666666666668
13,1,2048,1,4096,32.0,,20.313000000000002,5.278333333333333,25.591333333333335,,20.072666666666667,4.998,25.070666666666668
14,1,2048,1,4096,64.0,,20.032666666666668,4.784,24.816666666666666,,20.072666666666667,4.998,25.070666666666668
15,1,2048,1,4096,304.0,,20.072666666666667,4.998,25.070666666666668,,20.072666666666667,4.998,25.070666666666668
16,1,2048,1,512,128.0,,7.069333333333334,4.931,12.000333333333334,,7.457333333333334,5.065,12.522333333333334
17,1,2048,1,512,32.0,,6.093666666666667,4.076333333333333,10.17,,7.457333333333334,5.065,12.522333333333334
18,1,2048,1,512,64.0,,6.267333333333333,3.8349999999999995,10.102333333333332,,7.457333333333334,5.065,12.522333333333334
19,1,2048,1,512,304.0,,7.457333333333334,5.065,12.522333333333334,,7.457333333333334,5.065,12.522333333333334
20,1,2048,128,1024,128.0,566.2953333333334,,,566.2953333333334,232.57233333333332,,,232.57233333333332
21,1,2048,128,1024,160.0,234.00166666666667,,,234.00166666666667,232.57233333333332,,,232.57233333333332
22,1,2048,128,1024,196.0,233.521,,,233.521,232.57233333333332,,,232.57233333333332
23,1,2048,128,1024,224.0,232.77233333333334,,,232.77233333333334,232.57233333333332,,,232.57233333333332
24,1,2048,128,1024,32.0,2479.848,,,2479.848,232.57233333333332,,,232.57233333333332
25,1,2048,128,1024,64.0,1255.032,,,1255.032,232.57233333333332,,,232.57233333333332
26,1,2048,128,1024,304.0,232.57233333333332,,,232.57233333333332,232.57233333333332,,,232.57233333333332
27,1,2048,128,2048,128.0,1110.9416666666666,,,1110.9416666666666,446.11366666666663,,,446.11366666666663
28,1,2048,128,2048,160.0,452.52866666666665,,,452.52866666666665,446.11366666666663,,,446.11366666666663
29,1,2048,128,2048,196.0,447.00933333333336,,,447.00933333333336,446.11366666666663,,,446.11366666666663
30,1,2048,128,2048,32.0,4791.083666666666,,,4791.083666666666,446.11366666666663,,,446.11366666666663
31,1,2048,128,2048,64.0,2380.3663333333334,,,2380.3663333333334,446.11366666666663,,,446.11366666666663
32,1,2048,128,2048,304.0,446.11366666666663,,,446.11366666666663,446.11366666666663,,,446.11366666666663
33,1,2048,128,256,128.0,306.9693333333333,,,306.9693333333333,73.02033333333333,,,73.02033333333333
34,1,2048,128,256,160.0,73.14066666666666,,,73.14066666666666,73.02033333333333,,,73.02033333333333
35,1,2048,128,256,196.0,71.87133333333333,,,71.87133333333333,73.02033333333333,,,73.02033333333333
36,1,2048,128,256,224.0,72.085,,,72.085,73.02033333333333,,,73.02033333333333
37,1,2048,128,256,32.0,754.7406666666667,,,754.7406666666667,73.02033333333333,,,73.02033333333333
38,1,2048,128,256,64.0,371.597,,,371.597,73.02033333333333,,,73.02033333333333
39,1,2048,128,256,304.0,73.02033333333333,,,73.02033333333333,73.02033333333333,,,73.02033333333333
40,1,2048,128,4096,128.0,2140.6446666666666,,,2140.6446666666666,897.734,,,897.734
41,1,2048,128,4096,160.0,892.4823333333334,,,892.4823333333334,897.734,,,897.734
42,1,2048,128,4096,196.0,877.7413333333334,,,877.7413333333334,897.734,,,897.734
43,1,2048,128,4096,32.0,9409.714999999998,,,9409.714999999998,897.734,,,897.734
44,1,2048,128,4096,64.0,4675.377666666666,,,4675.377666666666,897.734,,,897.734
45,1,2048,128,4096,304.0,897.734,,,897.734,897.734,,,897.734
46,1,2048,128,512,128.0,302.84,,,302.84,126.59666666666665,,,126.59666666666665
47,1,2048,128,512,160.0,126.63633333333333,,,126.63633333333333,126.59666666666665,,,126.59666666666665
48,1,2048,128,512,196.0,126.48933333333333,,,126.48933333333333,126.59666666666665,,,126.59666666666665
