,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us
0,decode,,,128.0,1024.0,128.0,117.32166666666666,,,117.32166666666666,
1,decode,,,128.0,1024.0,160.0,61.24700000000001,,,61.24700000000001,
2,decode,,,128.0,1024.0,32.0,340.0986666666667,,,340.0986666666667,
3,decode,,,128.0,1024.0,64.0,172.381,,,172.381,
4,decode,,,128.0,1024.0,96.0,117.923,,,117.923,
5,decode,,,128.0,1024.0,304.0,60.52466666666667,,,60.52466666666667,
6,decode,,,128.0,2048.0,128.0,220.45066666666665,,,220.45066666666665,
7,decode,,,128.0,2048.0,160.0,113.246,,,113.246,
8,decode,,,128.0,2048.0,32.0,650.7286666666666,,,650.7286666666666,
9,decode,,,128.0,2048.0,64.0,328.9393333333333,,,328.9393333333333,
10,decode,,,128.0,2048.0,96.0,223.13733333333334,,,223.13733333333334,
11,decode,,,128.0,2048.0,304.0,112.31066666666668,,,112.31066666666668,
12,decode,,,128.0,256.0,128.0,37.13833333333333,,,37.13833333333333,
13,decode,,,128.0,256.0,160.0,20.714,,,20.714,
14,decode,,,128.0,256.0,32.0,105.52133333333335,,,105.52133333333335,
15,decode,,,128.0,256.0,64.0,56.36866666666666,,,56.36866666666666,
16,decode,,,128.0,256.0,96.0,38.488,,,38.488,
17,decode,,,128.0,256.0,304.0,20.995,,,20.995,
18,decode,,,128.0,4096.0,128.0,431.28000000000003,,,431.28000000000003,
19,decode,,,128.0,4096.0,160.0,221.09233333333336,,,221.09233333333336,
20,decode,,,128.0,4096.0,32.0,1277.1886666666667,,,1277.1886666666667,
21,decode,,,128.0,4096.0,64.0,643.2986666666667,,,643.2986666666667,
22,decode,,,128.0,4096.0,96.0,431.49399999999997,,,431.49399999999997,
23,decode,,,128.0,4096.0,304.0,217.63133333333334,,,217.63133333333334,
24,decode,,,128.0,512.0,128.0,64.935,,,64.935,
25,decode,,,128.0,512.0,160.0,32.80833333333334,,,32.80833333333334,
26,decode,,,128.0,512.0,32.0,182.44366666666667,,,182.44366666666667,
27,decode,,,128.0,512.0,64.0,93.21266666666666,,,93.21266666666666,
28,decode,,,128.0,512.0,96.0,63.31833333333333,,,63.31833333333333,
29,decode,,,128.0,512.0,304.0,34.50566666666666,,,34.50566666666666,
30,decode,,,128.0,8192.0,128.0,873.1176666666667,,,873.1176666666667,
31,decode,,,128.0,8192.0,160.0,432.45599999999996,,,432.45599999999996,
32,decode,,,128.0,8192.0,32.0,2531.030666666667,,,2531.030666666667,
33,decode,,,128.0,8192.0,64.0,1289.5103333333334,,,1289.5103333333334,
34,decode,,,128.0,8192.0,96.0,864.7653333333334,,,864.7653333333334,
35,decode,,,128.0,8192.0,304.0,431.4266666666667,,,431.4266666666667,
36,decode,,,16.0,1024.0,128.0,,21.595666666666663,5.358666666666667,26.95433333333333,
37,decode,,,16.0,1024.0,160.0,,14.513,4.036,18.549,
38,decode,,,16.0,1024.0,32.0,,70.69500000000001,5.372333333333334,76.06733333333334,
39,decode,,,16.0,1024.0,64.0,,37.031333333333336,4.611,41.64233333333333,
40,decode,,,16.0,1024.0,96.0,,27.102,4.7843333333333335,31.886333333333333,
41,decode,,,16.0,1024.0,304.0,,9.020666666666665,4.3566666666666665,13.377333333333333,
42,decode,,,16.0,2048.0,128.0,,30.376,4.276666666666666,34.65266666666667,
43,decode,,,16.0,2048.0,160.0,,22.104,4.984333333333333,27.08833333333333,
44,decode,,,16.0,2048.0,32.0,,111.16133333333333,5.038333333333334,116.19966666666667,
45,decode,,,16.0,2048.0,64.0,,57.625,5.051333333333333,62.67633333333333,
46,decode,,,16.0,2048.0,96.0,,39.38366666666666,4.490333333333333,43.873999999999995,
47,decode,,,16.0,2048.0,304.0,,12.696,4.369666666666667,17.065666666666665,
48,decode,,,16.0,256.0,128.0,,9.996333333333332,3.982333333333333,13.978666666666665,
49,decode,,,16.0,256.0,160.0,,7.269666666666666,4.303333333333334,11.573,
50,decode,,,16.0,256.0,32.0,,27.409666666666666,5.759666666666667,33.169333333333334,
51,decode,,,16.0,256.0,64.0,,16.558,4.316666666666666,20.874666666666666,
52,decode,,,16.0,256.0,96.0,,11.413000000000002,4.223,15.636000000000003,
53,decode,,,16.0,256.0,304.0,,6.762333333333333,4.0889999999999995,10.851333333333333,
54,decode,,,16.0,4096.0,128.0,,52.119,4.757,56.876,
55,decode,,,16.0,4096.0,160.0,,35.174,4.129333333333334,39.303333333333335,
56,decode,,,16.0,4096.0,32.0,,192.26666666666665,5.051333333333333,197.31799999999998,
57,decode,,,16.0,4096.0,64.0,,98.13133333333333,4.530333333333334,102.66166666666666,
58,decode,,,16.0,4096.0,96.0,,67.34066666666668,4.584,71.92466666666668,
59,decode,,,16.0,4096.0,304.0,,20.072999999999997,5.172,25.244999999999997,
60,decode,,,16.0,512.0,128.0,,14.045333333333332,4.156333333333333,18.201666666666664,
61,decode,,,16.0,512.0,160.0,,10.771333333333333,4.396666666666667,15.168,
62,decode,,,16.0,512.0,32.0,,46.879999999999995,5.345666666666666,52.22566666666666,
63,decode,,,16.0,512.0,64.0,,26.207000000000004,5.051333333333333,31.258333333333336,
64,decode,,,16.0,512.0,96.0,,18.308333333333334,5.131666666666667,23.44,
65,decode,,,16.0,512.0,304.0,,8.192333333333332,4.035666666666667,12.227999999999998,
66,decode,,,16.0,8192.0,128.0,,91.02133333333332,4.557333333333333,95.57866666666665,
67,decode,,,16.0,8192.0,160.0,,62.489666666666665,4.623666666666667,67.11333333333333,
68,decode,,,16.0,8192.0,32.0,,354.518,5.2253333333333325,359.7433333333333,
69,decode,,,16.0,8192.0,64.0,,178.60866666666666,4.383666666666667,182.99233333333333,
70,decode,,,16.0,8192.0,96.0,,120.16833333333334,4.624,124.79233333333333,
71,decode,,,16.0,8192.0,304.0,,34.666,5.786666666666666,40.452666666666666,
72,decode,,,1.0,1024.0,128.0,,9.848999999999998,3.888666666666667,13.737666666666666,
73,decode,,,1.0,1024.0,160.0,,9.287666666666667,3.6216666666666666,12.909333333333333,
74,decode,,,1.0,1024.0,32.0,,9.448,4.116,13.564,
75,decode,,,1.0,1024.0,64.0,,8.192333333333332,4.062666666666667,12.254999999999999,
76,decode,,,1.0,1024.0,96.0,,11.346000000000002,4.062333333333333,15.408333333333335,
77,decode,,,1.0,1024.0,304.0,,8.539333333333333,4.41,12.949333333333334,
78,decode,,,1.0,2048.0,128.0,,11.746666666666668,3.916,15.662666666666668,
79,decode,,,1.0,2048.0,160.0,,13.257333333333333,4.1290000000000004,17.386333333333333,
80,decode,,,1.0,2048.0,32.0,,12.281666666666666,3.848333333333334,16.13,
81,decode,,,1.0,2048.0,64.0,,13.644666666666666,4.2363333333333335,17.881,
82,decode,,,1.0,2048.0,96.0,,11.854333333333331,4.143,15.99733333333333,
83,decode,,,1.0,2048.0,304.0,,11.345666666666666,3.9153333333333333,15.261,
84,decode,,,1.0,256.0,128.0,,7.163666666666667,4.143,11.306666666666667,
85,decode,,,1.0,256.0,160.0,,10.610999999999999,4.6643333333333326,15.275333333333332,
86,decode,,,1.0,256.0,32.0,,6.187666666666666,3.8089999999999997,9.996666666666666,
87,decode,,,1.0,256.0,64.0,,7.550666666666667,3.942,11.492666666666668,
88,decode,,,1.0,256.0,96.0,,6.588666666666666,3.9956666666666667,10.584333333333333,
89,decode,,,1.0,256.0,304.0,,6.428,3.982666666666667,10.410666666666668,
90,decode,,,1.0,4096.0,128.0,,23.974666666666668,5.4526666666666666,29.427333333333333,
91,decode,,,1.0,4096.0,160.0,,19.044,5.198666666666667,24.24266666666667,
92,decode,,,1.0,4096.0,32.0,,18.49566666666667,3.6483333333333334,22.144000000000002,
93,decode,,,1.0,4096.0,64.0,,19.257666666666665,5.091333333333334,24.349,
94,decode,,,1.0,4096.0,96.0,,22.41133333333333,5.185333333333333,27.596666666666664,
95,decode,,,1.0,4096.0,304.0,,18.469333333333335,4.223,22.692333333333334,
96,decode,,,1.0,512.0,128.0,,6.575,4.049,10.624,
97,decode,,,1.0,512.0,160.0,,6.815333333333334,4.182666666666667,10.998000000000001,
98,decode,,,1.0,512.0,32.0,,8.513,3.8353333333333333,12.348333333333333,
99,decode,,,1.0,512.0,64.0,,6.855666666666667,3.902333333333333,10.758,
100,decode,,,1.0,512.0,96.0,,6.481999999999999,3.942,10.424,
101,decode,,,1.0,512.0,304.0,,7.938,4.971666666666667,12.909666666666666,
102,decode,,,1.0,8192.0,128.0,,31.766000000000002,4.129333333333332,35.89533333333333,
103,decode,,,1.0,8192.0,160.0,,34.89366666666667,5.265333333333333,40.159,
104,decode,,,1.0,8192.0,32.0,,31.685666666666666,3.9553333333333334,35.641,
105,decode,,,1.0,8192.0,64.0,,32.367333333333335,4.102333333333334,36.46966666666667,
106,decode,,,1.0,8192.0,96.0,,31.726,3.9023333333333334,35.62833333333333,
107,decode,,,1.0,8192.0,304.0,,32.24733333333333,4.356333333333333,36.60366666666666,
108,decode,,,2.0,1024.0,128.0,,9.595,4.517,14.112000000000002,
109,decode,,,2.0,1024.0,160.0,,9.582,3.9956666666666667,13.577666666666667,
110,decode,,,2.0,1024.0,32.0,,15.261333333333335,3.9956666666666667,19.257,
111,decode,,,2.0,1024.0,64.0,,9.475,4.182666666666667,13.657666666666668,
