,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_us,avg_decode_duration_us,avg_prefill_duration_us
110,decode,1,2048,128,256,64.0,371.597,,
111,decode,1,2048,128,256,304.0,73.02033333333333,,
112,decode,1,2048,128,4096,128.0,2140.6446666666666,,
113,decode,1,2048,128,4096,32.0,9409.714999999998,,
114,decode,1,2048,128,4096,64.0,4675.377666666666,,
115,decode,1,2048,128,4096,304.0,897.734,,
116,decode,1,2048,128,512,128.0,302.84,,
117,decode,1,2048,128,512,32.0,1319.072,,
118,decode,1,2048,128,512,64.0,658.1056666666667,,
119,decode,1,2048,128,512,304.0,126.59666666666665,,
120,decode,1,2048,256,1024,128.0,1143.215,,
121,decode,1,2048,256,1024,32.0,4924.374333333333,,
122,decode,1,2048,256,1024,64.0,2466.377,,
123,decode,1,2048,256,1024,304.0,462.9793333333334,,
124,decode,1,2048,256,2048,128.0,2180.0006666666663,,
125,decode,1,2048,256,2048,32.0,9512.915,,
126,decode,1,2048,256,2048,64.0,4766.866999999999,,
127,decode,1,2048,256,2048,304.0,907.7703333333334,,
128,decode,1,2048,256,256,128.0,341.9026666666667,,
129,decode,1,2048,256,256,32.0,1487.9779999999998,,
130,decode,1,2048,256,256,64.0,743.2073333333333,,
131,decode,1,2048,256,256,304.0,142.08533333333335,,
132,decode,1,2048,256,4096,128.0,4293.024,,
133,decode,1,2048,256,4096,32.0,18710.100000000002,,
134,decode,1,2048,256,4096,64.0,9376.560666666666,,
135,decode,1,2048,256,4096,304.0,1798.060666666667,,
136,decode,1,2048,256,512,128.0,604.1696666666667,,
137,decode,1,2048,256,512,32.0,2621.1569999999997,,
138,decode,1,2048,256,512,64.0,1528.2703333333332,,
139,decode,1,2048,256,512,304.0,249.237,,
140,decode,1,2048,32,1024,128.0,170.22966666666667,,
141,decode,1,2048,32,1024,32.0,632.5403333333334,,
142,decode,1,2048,32,1024,64.0,337.4253333333333,,
143,decode,1,2048,32,1024,304.0,59.65633333333333,,
144,decode,1,2048,32,2048,128.0,327.068,,
145,decode,1,2048,32,2048,32.0,1245.53,,
146,decode,1,2048,32,2048,64.0,661.9409999999999,,
147,decode,1,2048,32,2048,304.0,114.609,,
148,decode,1,2048,32,256,128.0,51.26433333333333,,
149,decode,1,2048,32,256,32.0,189.87466666666668,,
150,decode,1,2048,32,256,64.0,101.20466666666665,,
151,decode,1,2048,32,256,304.0,20.219333333333335,,
152,decode,1,2048,32,4096,128.0,653.1743333333333,,
153,decode,1,2048,32,4096,32.0,2406.8799999999997,,
154,decode,1,2048,32,4096,64.0,1288.2546666666667,,
155,decode,1,2048,32,4096,304.0,221.02599999999998,,
156,decode,1,2048,32,512,128.0,91.16866666666665,,
157,decode,1,2048,32,512,32.0,337.8533333333333,,
158,decode,1,2048,32,512,64.0,179.49099999999999,,
159,decode,1,2048,32,512,304.0,33.303333333333335,,
160,decode,1,2048,512,1024,128.0,2275.3653333333336,,
161,decode,1,2048,512,1024,32.0,9836.588333333335,,
162,decode,1,2048,512,1024,64.0,4915.794666666667,,
163,decode,1,2048,512,1024,304.0,880.4276666666668,,
164,decode,1,2048,512,2048,128.0,4400.375,,
165,decode,1,2048,512,2048,32.0,19081.555666666667,,
166,decode,1,2048,512,2048,64.0,9515.572999999999,,
167,decode,1,2048,512,2048,304.0,1740.2753333333333,,
168,decode,1,2048,512,256,128.0,689.0970000000001,,
169,decode,1,2048,512,256,32.0,2952.2083333333335,,
170,decode,1,2048,512,256,64.0,1487.0026666666665,,
171,decode,1,2048,512,256,304.0,265.0063333333333,,
172,decode,1,2048,512,4096,128.0,8732.368666666667,,
173,decode,1,2048,512,4096,32.0,37401.157666666666,,
174,decode,1,2048,512,4096,64.0,18849.448,,
175,decode,1,2048,512,4096,304.0,3348.6083333333336,,
176,decode,1,2048,512,512,128.0,1227.863,,
177,decode,1,2048,512,512,32.0,5252.1776666666665,,
178,decode,1,2048,512,512,64.0,2622.7076666666667,,
179,decode,1,2048,512,512,304.0,468.9266666666667,,
180,decode,1,2048,64,1024,128.0,283.6223333333333,,
181,decode,1,2048,64,1024,32.0,1269.01,,
182,decode,1,2048,64,1024,64.0,628.1846666666667,,
183,decode,1,2048,64,1024,304.0,117.322,,
184,decode,1,2048,64,2048,128.0,545.3006666666666,,
185,decode,1,2048,64,2048,32.0,2414.445333333333,,
186,decode,1,2048,64,2048,64.0,1213.2163333333335,,
187,decode,1,2048,64,2048,304.0,225.20866666666666,,
188,decode,1,2048,64,256,128.0,86.13,,
189,decode,1,2048,64,256,32.0,373.68199999999996,,
190,decode,1,2048,64,256,64.0,185.919,,
191,decode,1,2048,64,256,304.0,37.793,,
192,decode,1,2048,64,4096,128.0,1091.2706666666666,,
193,decode,1,2048,64,4096,32.0,4738.482666666666,,
194,decode,1,2048,64,4096,64.0,2339.2993333333334,,
195,decode,1,2048,64,4096,304.0,441.98500000000007,,
196,decode,1,2048,64,512,128.0,152.001,,
197,decode,1,2048,64,512,32.0,665.189,,
198,decode,1,2048,64,512,64.0,329.63466666666665,,
199,decode,1,2048,64,512,304.0,64.30733333333333,,
200,decode,1,256,128,1024,128.0,566.3223333333333,,
201,decode,1,256,128,1024,32.0,2478.2303333333334,,
202,decode,1,256,128,1024,64.0,1243.8056666666666,,
203,decode,1,256,128,1024,304.0,233.50766666666667,,
204,decode,1,256,128,2048,128.0,1099.4086666666665,,
205,decode,1,256,128,2048,32.0,4792.219666666667,,
206,decode,1,256,128,2048,64.0,2391.138,,
207,decode,1,256,128,2048,304.0,450.163,,
208,decode,1,256,128,256,128.0,171.232,,
209,decode,1,256,128,256,32.0,752.468,,
210,decode,1,256,128,256,64.0,371.1956666666667,,
211,decode,1,256,128,256,304.0,72.606,,
212,decode,1,256,128,4096,128.0,2140.163666666667,,
213,decode,1,256,128,4096,32.0,9415.263333333332,,
214,decode,1,256,128,4096,64.0,4676.419333333333,,
215,decode,1,256,128,4096,304.0,893.324,,
216,decode,1,256,128,512,128.0,302.6656666666667,,
217,decode,1,256,128,512,32.0,1329.5223333333333,,
218,decode,1,256,128,512,64.0,660.6719999999999,,
219,decode,1,256,128,512,304.0,126.476,,
220,decode,1,256,256,1024,128.0,1151.5143333333333,,
221,decode,1,256,256,1024,32.0,4920.151,,
222,decode,1,256,256,1024,64.0,2465.08,,
223,decode,1,256,256,1024,304.0,463.955,,
224,decode,1,256,256,2048,128.0,2176.953666666667,,
225,decode,1,256,256,2048,32.0,9512.367,,
226,decode,1,256,256,2048,64.0,4762.471,,
227,decode,1,256,256,2048,304.0,909.909,,
228,decode,1,256,256,256,128.0,342.183,,
229,decode,1,256,256,256,32.0,1488.4863333333335,,
230,decode,1,256,256,256,64.0,749.3813333333334,,
