,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
0,decode,1,1024,1,1024,32.0,59.83033333333333,,,59.83033333333333,,59.89666666666667,,,59.89666666666667,
1,decode,1,1024,1,1024,304.0,59.89666666666667,,,59.89666666666667,,59.89666666666667,,,59.89666666666667,
2,decode,1,1024,1,2048,32.0,112.56366666666666,,,112.56366666666666,,112.64433333333334,,,112.64433333333334,
3,decode,1,1024,1,2048,304.0,112.64433333333334,,,112.64433333333334,,112.64433333333334,,,112.64433333333334,
4,decode,1,1024,1,256,32.0,20.326666666666668,,,20.326666666666668,,21.262,,,21.262,
5,decode,1,1024,1,256,64.0,20.139333333333337,,,20.139333333333337,,21.262,,,21.262,
6,decode,1,1024,1,256,304.0,21.262,,,21.262,,21.262,,,21.262,
7,decode,1,1024,1,4096,32.0,218.40600000000003,,,218.40600000000003,,219.47566666666663,,,219.47566666666663,
8,decode,1,1024,1,4096,304.0,219.47566666666663,,,219.47566666666663,,219.47566666666663,,,219.47566666666663,
9,decode,1,1024,1,512,32.0,33.02233333333333,,,33.02233333333333,,33.931,,,33.931,
10,decode,1,1024,1,512,304.0,33.931,,,33.931,,33.931,,,33.931,
11,decode,1,1024,16,1024,32.0,57.906,,,57.906,,58.520999999999994,,,58.520999999999994,
12,decode,1,1024,16,1024,304.0,58.520999999999994,,,58.520999999999994,,58.520999999999994,,,58.520999999999994,
13,decode,1,1024,16,2048,32.0,110.199,,,110.199,,110.09166666666665,,,110.09166666666665,
14,decode,1,1024,16,2048,304.0,110.09166666666665,,,110.09166666666665,,110.09166666666665,,,110.09166666666665,
15,decode,1,1024,16,256,32.0,19.311,,,19.311,,19.444666666666667,,,19.444666666666667,
16,decode,1,1024,16,256,304.0,19.444666666666667,,,19.444666666666667,,19.444666666666667,,,19.444666666666667,
17,decode,1,1024,16,4096,32.0,215.02566666666667,,,215.02566666666667,,214.838,,,214.838,
18,decode,1,1024,16,4096,304.0,214.838,,,214.838,,214.838,,,214.838,
19,decode,1,1024,16,512,32.0,32.24733333333334,,,32.24733333333334,,31.592666666666663,,,31.592666666666663,
20,decode,1,1024,16,512,304.0,31.592666666666663,,,31.592666666666663,,31.592666666666663,,,31.592666666666663,
21,decode,1,1024,8,1024,32.0,57.59866666666667,,,57.59866666666667,,58.239666666666665,,,58.239666666666665,
22,decode,1,1024,8,1024,304.0,58.239666666666665,,,58.239666666666665,,58.239666666666665,,,58.239666666666665,
23,decode,1,1024,8,2048,32.0,109.851,,,109.851,,109.66433333333333,,,109.66433333333333,
24,decode,1,1024,8,2048,304.0,109.66433333333333,,,109.66433333333333,,109.66433333333333,,,109.66433333333333,
25,decode,1,1024,8,256,32.0,19.110333333333333,,,19.110333333333333,,19.364,,,19.364,
26,decode,1,1024,8,256,64.0,19.752333333333336,,,19.752333333333336,,19.364,,,19.364,
27,decode,1,1024,8,256,304.0,19.364,,,19.364,,19.364,,,19.364,
28,decode,1,1024,8,4096,32.0,213.54233333333332,,,213.54233333333332,,215.15866666666668,,,215.15866666666668,
29,decode,1,1024,8,4096,304.0,215.15866666666668,,,215.15866666666668,,215.15866666666668,,,215.15866666666668,
30,decode,1,1024,8,512,32.0,32.153333333333336,,,32.153333333333336,,32.381,,,32.381,
31,decode,1,1024,8,512,304.0,32.381,,,32.381,,32.381,,,32.381,
32,decode,1,2048,1,1024,32.0,61.23333333333333,,,61.23333333333333,,59.536,,,59.536,
33,decode,1,2048,1,1024,304.0,59.536,,,59.536,,59.536,,,59.536,
34,decode,1,2048,1,2048,32.0,112.992,,,112.992,,112.56433333333332,,,112.56433333333332,
35,decode,1,2048,1,2048,304.0,112.56433333333332,,,112.56433333333332,,112.56433333333332,,,112.56433333333332,
36,decode,1,2048,1,256,32.0,19.965666666666667,,,19.965666666666667,,19.939,,,19.939,
37,decode,1,2048,1,256,64.0,19.685333333333332,,,19.685333333333332,,19.939,,,19.939,
38,decode,1,2048,1,256,304.0,19.939,,,19.939,,19.939,,,19.939,
39,decode,1,2048,1,4096,32.0,218.11266666666666,,,218.11266666666666,,218.92733333333334,,,218.92733333333334,
40,decode,1,2048,1,4096,304.0,218.92733333333334,,,218.92733333333334,,218.92733333333334,,,218.92733333333334,
41,decode,1,2048,1,512,32.0,33.87766666666666,,,33.87766666666666,,33.943999999999996,,,33.943999999999996,
42,decode,1,2048,1,512,304.0,33.943999999999996,,,33.943999999999996,,33.943999999999996,,,33.943999999999996,
43,decode,1,2048,16,1024,32.0,58.68133333333333,,,58.68133333333333,,57.69166666666666,,,57.69166666666666,
44,decode,1,2048,16,1024,304.0,57.69166666666666,,,57.69166666666666,,57.69166666666666,,,57.69166666666666,
45,decode,1,2048,16,2048,32.0,110.34566666666667,,,110.34566666666667,,110.67966666666666,,,110.67966666666666,
46,decode,1,2048,16,2048,304.0,110.67966666666666,,,110.67966666666666,,110.67966666666666,,,110.67966666666666,
47,decode,1,2048,16,256,32.0,19.618666666666666,,,19.618666666666666,,18.62933333333333,,,18.62933333333333,
48,decode,1,2048,16,256,304.0,18.62933333333333,,,18.62933333333333,,18.62933333333333,,,18.62933333333333,
49,decode,1,2048,16,4096,32.0,214.21,,,214.21,,215.19899999999998,,,215.19899999999998,
50,decode,1,2048,16,4096,304.0,215.19899999999998,,,215.19899999999998,,215.19899999999998,,,215.19899999999998,
51,decode,1,2048,16,512,32.0,32.13999999999999,,,32.13999999999999,,33.18266666666667,,,33.18266666666667,
52,decode,1,2048,16,512,304.0,33.18266666666667,,,33.18266666666667,,33.18266666666667,,,33.18266666666667,
53,decode,1,2048,8,1024,32.0,57.906000000000006,,,57.906000000000006,,59.215666666666664,,,59.215666666666664,
