,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,first_kernel,is_3d,rows_in_group,rows_expected,rows_ok,avg_final_overlap_pct_nonzero,count_nonzero
59,16.0,1024.0,16.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
60,16.0,1024.0,16.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
61,16.0,1024.0,16.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
62,16.0,1024.0,16.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
63,16.0,1024.0,16.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
64,16.0,1024.0,16.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
65,16.0,1024.0,16.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
66,16.0,1024.0,16.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,5.080831408775981,1
67,16.0,1024.0,16.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
68,16.0,1024.0,16.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,45.07961062913269,5
69,16.0,1024.0,16.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,17.44650103755673,3
70,16.0,1024.0,16.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
71,16.0,1024.0,16.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
72,16.0,1024.0,1.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
73,16.0,1024.0,1.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
74,16.0,1024.0,1.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
75,16.0,1024.0,1.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
76,16.0,1024.0,1.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
77,16.0,1024.0,1.0,1024.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
78,16.0,1024.0,1.0,2048.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
79,16.0,1024.0,1.0,2048.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
80,16.0,1024.0,1.0,2048.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
81,16.0,1024.0,1.0,2048.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
82,16.0,1024.0,1.0,2048.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
83,16.0,1024.0,1.0,2048.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
