,mode,prefill_len,prefill_batch,decode_batch_size,cu_mask,mean_q1,std_q1,mean_q2,std_q2,mean_q3,std_q3,decode_mean_q1,decode_std_q1,prefill_mean_q1,prefill_std_q1
228,prefill_and_decode,256.0,1.0,1.0,32.0,,,47.428399999999996,1.9329054037898497,38.2396,2.4444715788898024,40.292,0.3609999999999971,40.88033333333333,0.49807763785712306
229,prefill_and_decode,256.0,1.0,1.0,64.0,,,74.5384,4.825523888657065,22.684,1.985729714739646,21.743,0.18085076720876697,63.73266666666667,0.06110100926608199
230,prefill_and_decode,256.0,1.0,1.0,96.0,,,75.1716,5.9509551586279015,23.613999999999997,1.2064526513709521,20.473333333333333,0.4429450680765427,62.26233333333334,0.12000138888084887
231,prefill_and_decode,256.0,1.0,1.0,128.0,,,76.7438,7.5608308207497945,21.6734,2.604940843858073,14.486666666666666,0.5043821302676506,60.51166666666666,0.197889699917233
232,prefill_and_decode,256.0,1.0,1.0,160.0,,,75.3086,7.058588654964949,22.4592,1.8259057204576592,13.844999999999999,0.12274770873625308,61.20666666666667,0.8639313244311332
233,prefill_and_decode,256.0,1.0,1.0,304.0,,,48.3988,2.2120914764086956,22.1706,3.3875192693178873,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995
234,prefill_and_decode,256.0,1.0,2.0,32.0,,,47.596999999999994,2.1329841771565032,39.2822,2.7481885306506895,40.092,0.13856406460550724,40.88033333333333,0.49807763785712306
235,prefill_and_decode,256.0,1.0,2.0,64.0,,,74.5384,4.83863775250845,22.2992,1.3815741746283476,21.42233333333333,0.18977442750100249,63.73266666666667,0.06110100926608199
236,prefill_and_decode,256.0,1.0,2.0,96.0,,,74.9476,6.492759143846318,23.8144,0.8134766745273038,20.246333333333336,0.34222848118374694,62.26233333333334,0.12000138888084887
237,prefill_and_decode,256.0,1.0,2.0,128.0,,,77.4494,8.13086178089383,22.1546,2.2333898674436563,14.272666666666666,0.12050034578097138,60.51166666666666,0.197889699917233
238,prefill_and_decode,256.0,1.0,2.0,160.0,,,75.6852,7.106215427356535,21.6418,2.000908718557647,13.952,0.040000000000000924,61.20666666666667,0.8639313244311332
239,prefill_and_decode,256.0,1.0,2.0,304.0,,,48.6954,3.1108304839704752,23.0688,3.6504439045135295,13.617666666666667,0.08326663997864553,40.47933333333333,0.4325752343041995
240,prefill_and_decode,256.0,1.0,4.0,32.0,,,48.1984,2.3814324050873235,39.2898,2.6882339369928356,40.492,0.03999999999999915,40.88033333333333,0.49807763785712306
241,prefill_and_decode,256.0,1.0,4.0,64.0,,,75.7978,5.4858479016465616,22.2994,1.1177644206182276,21.89033333333333,0.2503604068804265,63.73266666666667,0.06110100926608199
242,prefill_and_decode,256.0,1.0,4.0,96.0,,,75.8776,6.496982053230567,23.950799999999997,0.9687183285145382,20.727333333333334,0.1447768397684307,62.26233333333334,0.12000138888084887
243,prefill_and_decode,256.0,1.0,4.0,128.0,,,76.9202,7.557511243789188,22.363599999999998,2.4958814675380707,14.940666666666667,0.27300976783502373,60.51166666666666,0.197889699917233
244,prefill_and_decode,256.0,1.0,4.0,160.0,,,76.11019999999999,8.36089685380701,22.4112,2.6959784309226205,14.994666666666667,0.2502005861970225,61.20666666666667,0.8639313244311332
245,prefill_and_decode,256.0,1.0,4.0,304.0,,,48.4308,2.801135430499565,22.7564,4.058984823819867,13.684666666666667,0.34076433694465974,40.47933333333333,0.4325752343041995
246,prefill_and_decode,256.0,1.0,8.0,32.0,,,47.4844,2.0438410652494494,38.8892,2.7005594235269124,42.297,0.0800000000000054,40.88033333333333,0.49807763785712306
247,prefill_and_decode,256.0,1.0,8.0,64.0,,,74.274,4.562110092928496,22.9808,1.7025976330301895,22.759,0.30605064940300303,63.73266666666667,0.06110100926608199
248,prefill_and_decode,256.0,1.0,8.0,96.0,,,74.5544,5.731831147198945,23.8944,1.5131337680456398,21.676333333333332,0.1011945321316,62.26233333333334,0.12000138888084887
249,prefill_and_decode,256.0,1.0,8.0,128.0,,,77.0244,7.725098238857545,21.505000000000003,1.9190567995762922,14.46,0.26688386987601853,60.51166666666666,0.197889699917233
250,prefill_and_decode,256.0,1.0,8.0,160.0,,,75.4288,7.6994340506299555,22.2908,2.694902168910774,14.62,0.023388031127052615,61.20666666666667,0.8639313244311332
251,prefill_and_decode,256.0,1.0,8.0,304.0,,,48.7198,2.8754464349036315,21.1846,3.0459685323390984,13.618,0.23551645377765035,40.47933333333333,0.4325752343041995
252,prefill_and_decode,256.0,1.0,16.0,32.0,,,47.5968,2.052707772674913,39.650999999999996,3.178022891673372,43.82033333333334,0.223788590713054,40.88033333333333,0.49807763785712306
253,prefill_and_decode,256.0,1.0,16.0,64.0,,,74.6748,4.442674217180455,22.580000000000002,1.4898364004144895,23.761333333333337,0.2017927980214682,63.73266666666667,0.06110100926608199
254,prefill_and_decode,256.0,1.0,16.0,96.0,,,74.9394,6.093848726379742,23.9908,0.569270761588894,22.358,1.1351982205764766,62.26233333333334,0.12000138888084887
255,prefill_and_decode,256.0,1.0,16.0,128.0,,,75.62100000000001,7.381311773661918,21.6012,1.7773466741184734,15.021,0.12209422590769843,60.51166666666666,0.197889699917233
256,prefill_and_decode,256.0,1.0,16.0,160.0,,,75.18820000000001,7.031141137823927,22.1224,2.6195388525463783,15.315333333333333,0.2777054794802091,61.20666666666667,0.8639313244311332
257,prefill_and_decode,256.0,1.0,16.0,304.0,,,49.329,3.274198756948025,23.2932,3.212696017366101,14.660333333333334,0.9404490062376228,40.47933333333333,0.4325752343041995
