,mode,prefill_len,prefill_batch,decode_batch_size,cu_mask,baseline_mean_q1,baseline_std_q1,baseline_mean_q2,baseline_std_q2,baseline_mean_q3,baseline_std_q3,baseline_decode_mean_q1,baseline_decode_std_q1,baseline_prefill_mean_q1,baseline_prefill_std_q1,Unnamed: 0,mean_q1,std_q1,mean_q2,std_q2,mean_q3,std_q3,decode_mean_q1,decode_std_q1,prefill_mean_q1,prefill_std_q1,num_pairs,total_duration_avg,overlap_avg,total_duration_us_avg,overlap_us_avg
0,prefill_and_decode,256.0,1.0,1.0,32.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,228,,,47.4284,1.9329054037898497,38.2396,2.4444715788898024,40.292,0.3609999999999971,40.88033333333333,0.498077637857123,3,0 days 00:00:00.000077724,0 days 00:00:00.000010610,77.724,10.61
1,prefill_and_decode,256.0,1.0,1.0,64.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,229,,,74.5384,4.825523888657065,22.684,1.985729714739646,21.743,0.1808507672087669,63.73266666666667,0.0611010092660819,3,0 days 00:00:00.000059643,0 days 00:00:00.000023814,59.643,23.814
2,prefill_and_decode,256.0,1.0,1.0,96.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,230,,,75.1716,5.9509551586279015,23.614,1.206452651370952,20.473333333333333,0.4429450680765427,62.26233333333334,0.1200013888808488,3,0 days 00:00:00.000061781,0 days 00:00:00.000024295,61.781,24.295
3,prefill_and_decode,256.0,1.0,1.0,128.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,231,,,76.7438,7.560830820749794,21.6734,2.604940843858073,14.486666666666666,0.5043821302676506,60.51166666666666,0.197889699917233,3,0 days 00:00:00.000058802,0 days 00:00:00.000022865,58.802,22.865
4,prefill_and_decode,256.0,1.0,1.0,160.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,232,,,75.3086,7.058588654964949,22.4592,1.8259057204576592,13.845,0.122747708736253,61.20666666666667,0.8639313244311332,3,0 days 00:00:00.000059789,0 days 00:00:00.000023333,59.789,23.333
5,prefill_and_decode,256.0,1.0,1.0,304.0,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,233,,,48.3988,2.212091476408696,22.1706,3.3875192693178877,13.457333333333333,0.2583047295992339,40.47933333333333,0.4325752343041995,3,0 days 00:00:00.000061754,0 days 00:00:00.000011854,61.754000000000005,11.854000000000001
6,prefill_and_decode,256.0,1.0,2.0,32.0,,,48.6954,3.1108304839704752,23.0688,3.6504439045135295,13.617666666666668,0.0832666399786455,40.47933333333333,0.4325752343041995,234,,,47.597,2.1329841771565032,39.2822,2.748188530650689,40.092,0.1385640646055072,40.88033333333333,0.498077637857123,3,0 days 00:00:00.000077417,0 days 00:00:00.000012508,77.41699999999999,12.508
7,prefill_and_decode,256.0,1.0,2.0,64.0,,,48.6954,3.1108304839704752,23.0688,3.6504439045135295,13.617666666666668,0.0832666399786455,40.47933333333333,0.4325752343041995,235,,,74.5384,4.83863775250845,22.2992,1.3815741746283476,21.42233333333333,0.1897744275010024,63.73266666666667,0.0611010092660819,3,0 days 00:00:00.000059776,0 days 00:00:00.000023186,59.775999999999996,23.186
8,prefill_and_decode,256.0,1.0,2.0,96.0,,,48.6954,3.1108304839704752,23.0688,3.6504439045135295,13.617666666666668,0.0832666399786455,40.47933333333333,0.4325752343041995,236,,,74.9476,6.492759143846318,23.8144,0.8134766745273038,20.246333333333336,0.3422284811837469,62.26233333333334,0.1200013888808488,3,0 days 00:00:00.000061314,0 days 00:00:00.000024309,61.314,24.309
9,prefill_and_decode,256.0,1.0,2.0,128.0,,,48.6954,3.1108304839704752,23.0688,3.6504439045135295,13.617666666666668,0.0832666399786455,40.47933333333333,0.4325752343041995,237,,,77.4494,8.13086178089383,22.1546,2.2333898674436563,14.272666666666666,0.1205003457809713,60.51166666666666,0.197889699917233,3,0 days 00:00:00.000058467,0 days 00:00:00.000022799,58.467,22.799
