Prefill Len,Prefill Batch,Prefill Tokens,Decode batch size,Decode len,CU mask,Prefill time in isolation,Prefill time with interference,Serial Prefill time,Slowdown in prefill (H-G),Decode time in isolation,Decode Time with interference,Serial Decode Time,Slowdown in decode(L-K),Total Serial Time,Total Time with Interference,Overlap,,,Slowdown in decode ()
256,16,4096,32,1024,196,,,,,,,,,,,,,,
256,32,8192,32,1024,196,,,,,,,,,,,,,,
512,1,512,32,1024,196,,,,,,,,,,,,,,
512,4,2048,32,1024,196,,,,,,,,,,,,,,
512,8,4096,32,1024,196,,,,,,,,,,,,,,
512,16,8192,32,1024,196,,,,,,,,,,,,,,
1024,1,1024,32,1024,196,,,,,,,,,,,,,,
1024,4,4096,32,1024,196,,,,,,,,,,,,,,
1024,8,8192,32,1024,196,,,,,,,,,,,,,,
2048,1,2048,32,1024,196,,,,,,,,,,,,,,
2048,4,8192,32,1024,196,,,,,,,,,,,,,,
2048,8,16384,32,1024,196,,,,,,,,,,,,,,
4096,1,4096,32,1024,196,,,,,,,,,,,,,,
4096,4,16384,32,1024,196,,,,,,,,,,,,,,
256,1,256,64,1024,196,,,,,,,,,,,,,,
256,4,1024,64,1024,196,,,,,,,,,,,,,,
256,8,2048,64,1024,196,,,,,,,,,,,,,,
256,16,4096,64,1024,196,,,,,,,,,,,,,,
256,32,8192,64,1024,196,,,,,,,,,,,,,,
512,1,512,64,1024,196,,,,,,,,,,,,,,
512,4,2048,64,1024,196,,,,,,,,,,,,,,
512,8,4096,64,1024,196,,,,,,,,,,,,,,
512,16,8192,64,1024,196,,,,,,,,,,,,,,
1024,1,1024,64,1024,196,,,,,,,,,,,,,,
1024,4,4096,64,1024,196,,,,,,,,,,,,,,
1024,8,8192,64,1024,196,,,,,,,,,,,,,,
2048,1,2048,64,1024,196,,,,,,,,,,,,,,
2048,4,8192,64,1024,196,,,,,,,,,,,,,,
2048,8,16384,64,1024,196,,,,,,,,,,,,,,
4096,1,4096,64,1024,196,,,,,,,,,,,,,,
4096,4,16384,64,1024,196,,,,,,,,,,,,,,
256,1,256,128,1024,196,,,,,,,,,,,,,,
256,4,1024,128,1024,196,,,,,,,,,,,,,,
256,8,2048,128,1024,196,,,,,,,,,,,,,,
256,16,4096,128,1024,196,,,,,,,,,,,,,,
256,32,8192,128,1024,196,,,,,,,,,,,,,,
512,1,512,128,1024,196,,,,,,,,,,,,,,
512,4,2048,128,1024,196,,,,,,,,,,,,,,
512,8,4096,128,1024,196,,,,,,,,,,,,,,
512,16,8192,128,1024,196,,,,,,,,,,,,,,
1024,1,1024,128,1024,196,,,,,,,,,,,,,,
1024,4,4096,128,1024,196,,,,,,,,,,,,,,
1024,8,8192,128,1024,196,,,,,,,,,,,,,,
2048,1,2048,128,1024,196,,,,,,,,,,,,,,
2048,4,8192,128,1024,196,,,,,,,,,,,,,,
2048,8,16384,128,1024,196,,,,,,,,,,,,,,
4096,1,4096,128,1024,196,,,,,,,,,,,,,,
4096,4,16384,128,1024,196,,,,,,,,,,,,,,
256,1,256,256,1024,196,,,,,,,,,,,,,,
256,4,1024,256,1024,196,,,,,,,,,,,,,,
256,8,2048,256,1024,196,,,,,,,,,,,,,,
256,16,4096,256,1024,196,,,,,,,,,,,,,,
256,32,8192,256,1024,196,,,,,,,,,,,,,,
512,1,512,256,1024,196,,,,,,,,,,,,,,
512,4,2048,256,1024,196,,,,,,,,,,,,,,
512,8,4096,256,1024,196,,,,,,,,,,,,,,
512,16,8192,256,1024,196,,,,,,,,,,,,,,
1024,1,1024,256,1024,196,,,,,,,,,,,,,,
1024,4,4096,256,1024,196,,,,,,,,,,,,,,
1024,8,8192,256,1024,196,,,,,,,,,,,,,,
2048,1,2048,256,1024,196,,,,,,,,,,,,,,
2048,4,8192,256,1024,196,,,,,,,,,,,,,,
2048,8,16384,256,1024,196,,,,,,,,,,,,,,
4096,1,4096,256,1024,196,,,,,,,,,,,,,,
4096,4,16384,256,1024,196,,,,,,,,,,,,,,
256,1,256,512,1024,196,,,,,,,,,,,,,,
256,4,1024,512,1024,196,,,,,,,,,,,,,,
256,8,2048,512,1024,196,,,,,,,,,,,,,,
256,16,4096,512,1024,196,,,,,,,,,,,,,,
256,32,8192,512,1024,196,,,,,,,,,,,,,,
512,1,512,512,1024,196,,,,,,,,,,,,,,
512,4,2048,512,1024,196,,,,,,,,,,,,,,
512,8,4096,512,1024,196,,,,,,,,,,,,,,
512,16,8192,512,1024,196,,,,,,,,,,,,,,
1024,1,1024,512,1024,196,,,,,,,,,,,,,,
1024,4,4096,512,1024,196,,,,,,,,,,,,,,
1024,8,8192,512,1024,196,,,,,,,,,,,,,,
2048,1,2048,512,1024,196,,,,,,,,,,,,,,
2048,4,8192,512,1024,196,,,,,,,,,,,,,,
2048,8,16384,512,1024,196,,,,,,,,,,,,,,
4096,1,4096,512,1024,196,,,,,,,,,,,,,,
4096,4,16384,512,1024,196,,,,,,,,,,,,,,
256,1,256,32,2048,196,,,,,,,,,,,,,,
256,4,1024,32,2048,196,,,,,,,,,,,,,,
256,8,2048,32,2048,196,,,,,,,,,,,,,,
256,16,4096,32,2048,196,,,,,,,,,,,,,,
256,32,8192,32,2048,196,,,,,,,,,,,,,,
512,1,512,32,2048,196,,,,,,,,,,,,,,
512,4,2048,32,2048,196,,,,,,,,,,,,,,
512,8,4096,32,2048,196,,,,,,,,,,,,,,
512,16,8192,32,2048,196,,,,,,,,,,,,,,
1024,1,1024,32,2048,196,,,,,,,,,,,,,,
1024,4,4096,32,2048,196,,,,,,,,,,,,,,
1024,8,8192,32,2048,196,,,,,,,,,,,,,,
2048,1,2048,32,2048,196,,,,,,,,,,,,,,
2048,4,8192,32,2048,196,,,,,,,,,,,,,,
2048,8,16384,32,2048,196,,,,,,,,,,,,,,
4096,1,4096,32,2048,196,,,,,,,,,,,,,,
4096,4,16384,32,2048,196,,,,,,,,,,,,,,
256,1,256,64,2048,196,,,,,,,,,,,,,,
256,4,1024,64,2048,196,,,,,,,,,,,,,,
256,8,2048,64,2048,196,,,,,,,,,,,,,,
256,16,4096,64,2048,196,,,,,,,,,,,,,,
256,32,8192,64,2048,196,,,,,,,,,,,,,,
512,1,512,64,2048,196,,,,,,,,,,,,,,
512,4,2048,64,2048,196,,,,,,,,,,,,,,
512,8,4096,64,2048,196,,,,,,,,,,,,,,
512,16,8192,64,2048,196,,,,,,,,,,,,,,
1024,1,1024,64,2048,196,,,,,,,,,,,,,,
1024,4,4096,64,2048,196,,,,,,,,,,,,,,
1024,8,8192,64,2048,196,,,,,,,,,,,,,,
2048,1,2048,64,2048,196,,,,,,,,,,,,,,
2048,4,8192,64,2048,196,,,,,,,,,,,,,,
2048,8,16384,64,2048,196,,,,,,,,,,,,,,
4096,1,4096,64,2048,196,,,,,,,,,,,,,,
4096,4,16384,64,2048,196,,,,,,,,,,,,,,
256,1,256,128,2048,196,,,,,,,,,,,,,,
256,4,1024,128,2048,196,,,,,,,,,,,,,,
256,8,2048,128,2048,196,,,,,,,,,,,,,,
256,16,4096,128,2048,196,,,,,,,,,,,,,,
256,32,8192,128,2048,196,,,,,,,,,,,,,,
512,1,512,128,2048,196,,,,,,,,,,,,,,
512,4,2048,128,2048,196,,,,,,,,,,,,,,
512,8,4096,128,2048,196,,,,,,,,,,,,,,
512,16,8192,128,2048,196,,,,,,,,,,,,,,
1024,1,1024,128,2048,196,,,,,,,,,,,,,,
1024,4,4096,128,2048,196,,,,,,,,,,,,,,
1024,8,8192,128,2048,196,,,,,,,,,,,,,,
2048,1,2048,128,2048,196,,,,,,,,,,,,,,
2048,4,8192,128,2048,196,,,,,,,,,,,,,,
2048,8,16384,128,2048,196,,,,,,,,,,,,,,
4096,1,4096,128,2048,196,,,,,,,,,,,,,,
4096,4,16384,128,2048,196,,,,,,,,,,,,,,
256,1,256,256,2048,196,,,,,,,,,,,,,,
256,4,1024,256,2048,196,,,,,,,,,,,,,,
256,8,2048,256,2048,196,,,,,,,,,,,,,,
256,16,4096,256,2048,196,,,,,,,,,,,,,,
256,32,8192,256,2048,196,,,,,,,,,,,,,,
512,1,512,256,2048,196,,,,,,,,,,,,,,
512,4,2048,256,2048,196,,,,,,,,,,,,,,
512,8,4096,256,2048,196,,,,,,,,,,,,,,
512,16,8192,256,2048,196,,,,,,,,,,,,,,
1024,1,1024,256,2048,196,,,,,,,,,,,,,,
1024,4,4096,256,2048,196,,,,,,,,,,,,,,
1024,8,8192,256,2048,196,,,,,,,,,,,,,,
2048,1,2048,256,2048,196,,,,,,,,,,,,,,
2048,4,8192,256,2048,196,,,,,,,,,,,,,,
2048,8,16384,256,2048,196,,,,,,,,,,,,,,
4096,1,4096,256,2048,196,,,,,,,,,,,,,,
4096,4,16384,256,2048,196,,,,,,,,,,,,,,
256,1,256,512,2048,196,,,,,,,,,,,,,,
256,4,1024,512,2048,196,,,,,,,,,,,,,,
256,8,2048,512,2048,196,,,,,,,,,,,,,,
256,16,4096,512,2048,196,,,,,,,,,,,,,,
256,32,8192,512,2048,196,,,,,,,,,,,,,,
512,1,512,512,2048,196,,,,,,,,,,,,,,
512,4,2048,512,2048,196,,,,,,,,,,,,,,
512,8,4096,512,2048,196,,,,,,,,,,,,,,
512,16,8192,512,2048,196,,,,,,,,,,,,,,
1024,1,1024,512,2048,196,,,,,,,,,,,,,,
1024,4,4096,512,2048,196,,,,,,,,,,,,,,
1024,8,8192,512,2048,196,,,,,,,,,,,,,,
2048,1,2048,512,2048,196,,,,,,,,,,,,,,
2048,4,8192,512,2048,196,,,,,,,,,,,,,,
2048,8,16384,512,2048,196,,,,,,,,,,,,,,
4096,1,4096,512,2048,196,,,,,,,,,,,,,,
4096,4,16384,512,2048,196,,,,,,,,,,,,,,
256,1,256,32,4096,196,,,,,,,,,,,,,,
256,4,1024,32,4096,196,,,,,,,,,,,,,,
256,8,2048,32,4096,196,,,,,,,,,,,,,,
256,16,4096,32,4096,196,,,,,,,,,,,,,,
256,32,8192,32,4096,196,,,,,,,,,,,,,,
512,1,512,32,4096,196,,,,,,,,,,,,,,
512,4,2048,32,4096,196,,,,,,,,,,,,,,
512,8,4096,32,4096,196,,,,,,,,,,,,,,
512,16,8192,32,4096,196,,,,,,,,,,,,,,
1024,1,1024,32,4096,196,,,,,,,,,,,,,,
1024,4,4096,32,4096,196,,,,,,,,,,,,,,
1024,8,8192,32,4096,196,,,,,,,,,,,,,,
2048,1,2048,32,4096,196,,,,,,,,,,,,,,
2048,4,8192,32,4096,196,,,,,,,,,,,,,,
2048,8,16384,32,4096,196,,,,,,,,,,,,,,
4096,1,4096,32,4096,196,,,,,,,,,,,,,,
4096,4,16384,32,4096,196,,,,,,,,,,,,,,
